time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-01 00:00:00-05:00,AdvancedMLTrader,6118bed5c05a4f1ba83c05e337d432ef,SPY,buy,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-01-15 09:30:00-05:00,AdvancedMLTrader,c21a88c176364d3cbfeb324dda38c757,NVDA,buy,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-01-17 09:30:00-05:00,AdvancedMLTrader,091b499c3c204ea180d87f1ea755fc61,NVDA,buy,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-01-23 09:30:00-05:00,AdvancedMLTrader,d30eebb1e2f849ec99717ae9554bb71d,MSFT,buy,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-01-25 03:30:00-05:00,AdvancedMLTrader,c21a88c176364d3cbfeb324dda38c757,NVDA,buy,trailing_stop,fill,1,gtc,0.0,1,stock,6.4375,1614.0,0.0
2020-01-25 03:30:00-05:00,AdvancedMLTrader,091b499c3c204ea180d87f1ea755fc61,NVDA,buy,trailing_stop,fill,1,gtc,0.0,1,stock,6.472462391853333,1602.0,0.0
2020-01-29 03:30:00-05:00,AdvancedMLTrader,d30eebb1e2f849ec99717ae9554bb71d,MSFT,buy,trailing_stop,fill,1,gtc,0.0,1,stock,168.2099967956543,60.0,0.0
2020-02-03 09:30:00-05:00,AdvancedMLTrader,6332aac157f44b7f8c04152656fc8d70,SQ,buy,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-02-05 03:30:00-05:00,AdvancedMLTrader,6332aac157f44b7f8c04152656fc8d70,SQ,buy,trailing_stop,fill,1,gtc,0.0,1,stock,81.9800033569336,46.0,0.0
2020-04-15 03:30:00-04:00,AdvancedMLTrader,6118bed5c05a4f1ba83c05e337d432ef,SPY,buy,trailing_stop,fill,1,gtc,0.0,1,stock,283.73799285888674,78.0,0.0
2020-05-01 09:30:00-04:00,AdvancedMLTrader,a0abd5eb050b42b489d0ff7d0b4d0919,AMZN,buy,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-05-08 03:30:00-04:00,AdvancedMLTrader,a0abd5eb050b42b489d0ff7d0b4d0919,AMZN,buy,trailing_stop,fill,1,gtc,0.0,1,stock,118.60700225830078,37.0,0.0
2020-06-12 09:30:00-04:00,AdvancedMLTrader,56381d4c2c214014847651a99d305115,TSLA,buy,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-06-14 03:30:00-04:00,AdvancedMLTrader,56381d4c2c214014847651a99d305115,TSLA,buy,trailing_stop,fill,1,gtc,0.0,1,stock,65.33333587646484,89.0,0.0
2020-08-24 09:30:00-04:00,AdvancedMLTrader,e39a4939c3e7406a8570a81647efa12d,ARKK,buy,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-08-28 03:30:00-04:00,AdvancedMLTrader,e39a4939c3e7406a8570a81647efa12d,ARKK,buy,trailing_stop,fill,1,gtc,0.0,1,stock,92.27399711608886,18.0,0.0
2022-08-08 09:30:00-04:00,AdvancedMLTrader,5e6e348414c04ad78022c59aaf710951,PLTR,buy,trailing_stop,new,1,gtc,0.0,1,stock,,,
2022-08-12 03:30:00-04:00,AdvancedMLTrader,5e6e348414c04ad78022c59aaf710951,PLTR,buy,trailing_stop,fill,1,gtc,0.0,1,stock,9.78599967956543,167.0,0.0
2024-05-28 09:30:00-04:00,AdvancedMLTrader,794b0aa98a104a28b036899c5268f350,AAPL,buy,trailing_stop,new,1,gtc,0.0,1,stock,,,
2024-06-12 03:30:00-04:00,AdvancedMLTrader,794b0aa98a104a28b036899c5268f350,AAPL,buy,trailing_stop,fill,1,gtc,0.0,1,stock,207.3699951171875,17.0,0.0
